Voltage Power Supply,Voltage Drop Resistor,Signal
22.81,2.079,1.10E-08
24.24,2.146,1.60E-08
25.48,2.203,2.16E-08
26.76,2.261,2.87E-08
28.06,2.318,3.77E-08
29.35,2.375,4.84E-08
30.65,2.43,6.12E-08
31.97,2.486,7.65E-08
33.25,2.534,9.51E-08
34.56,2.59,1.15E-07
35.86,2.644,1.38E-07
37.17,2.696,1.64E-07
38.47,2.748,1.93E-07
39.76,2.799,2.26E-07
41.6,2.867,2.77E-07
42.4,2.899,3.02E-07
43.7,2.949,3.46E-07
45,2.998,3.94E-07
46.3,3.045,4.37E-07
47.6,3.093,4.95E-07
48.6,3.127,5.35E-07
50.2,3.184,6.15E-07
51.5,3.231,6.88E-07
52.8,3.275,7.62E-07
54.6,3.338,8.78E-07
55.4,3.363,8.92E-07
55.9,3.38,9.25E-07
56.5,3.401,9.67E-07
57.8,3.443,1.06E-06
59.1,3.488,1.16E-06
60.4,3.53,1.26E-06
61.7,3.571,1.36E-06
63,3.614,1.47E-06
64.3,3.655,1.59E-06
65.6,3.696,1.71E-06
66.9,3.736,1.84E-06
68.2,3.779,1.98E-06
69.5,3.817,2.11E-06
70.8,3.856,2.25E-06
72.1,3.985,2.40E-06
73.4,3.935,2.55E-06
74.7,3.974,2.71E-06
76,4.013,2.89E-06
77.3,4.05,3.05E-06
78.6,4.086,3.22E-06
79.9,4.12,3.41E-06
81.2,4.16,3.60E-06
82.4,4.2,3.77E-06
83.7,4.23,3.97E-06
85,4.27,4.17E-06
86.3,4.3,4.37E-06
87.6,4.34,4.59E-06
88.9,4.38,4.82E-06
90.2,4.41,5.05E-06
91.5,4.45,5.28E-06
92.8,4.48,5.49E-06
94.1,4.52,5.74E-06
95.4,4.55,5.87E-06
96.7,4.58,6.12E-06
98,4.62,6.36E-06
99.3,4.65,6.63E-06
100.6,4.69,6.88E-06
101.9,4.72,7.13E-06
103.2,4.75,7.40E-06
104.5,4.78,7.60E-06
105.8,4.82,7.80E-06
107.1,4.85,7.92E-06
108.4,4.88,8.07E-06
109.7,4.92,8.23E-06