,Heater (V),Electron Gun Electrodes (V),Accelerating Voltage (V),Helmholtz Coils (V),Helmholtz Voltage Drop (V),Resistance (Î©),Right Radius (cm),Left Radius (cm),Current (A),Radius of Solenoids (m),Average Radius of beam (cm),Magnetic Field,e/m
0,6.32,149.9,149.9,6.59,6.77,6.5,5.0,4.8,1.0415384615384615,0.16,0.04164931278633902,0.0007609279316663315,298489388460.9282
1,6.32,149.8,149.8,7.41,7.05,6.5,5.0,4.9,1.0846153846153845,0.16,0.040812162024283234,0.000792399101661394,286467036785.848
2,6.32,149.8,149.8,7.03,6.58,6.5,5.0,4.8,1.0123076923076924,0.16,0.04164931278633902,0.0007395724948839679,315765462837.3524
3,6.32,149.6,149.6,8.31,7.08,6.5,4.8,4.7,1.0892307692307692,0.16,0.0443213296398892,0.0007957710127322935,240524764044.51587
4,6.32,149.6,149.6,9.0,6.72,6.5,5.1,4.9,1.0338461538461539,0.16,0.04,0.000755308079881499,327788222628.52045
5,6.32,149.5,149.5,6.65,7.69,6.5,4.5,4.4,1.1830769230769231,0.16,0.05049867440979674,0.0008643332045072511,156945489031.45197
6,6.32,149.5,149.5,7.55,6.78,6.5,5.0,4.9,1.043076923076923,0.16,0.040812162024283234,0.0007620519020232981,309116993870.2198
7,6.32,149.5,149.5,7.08,8.07,6.5,4.2,3.9,1.2415384615384615,0.16,0.060966316110349035,0.0009070440780719786,97776502131.68526
8,6.32,149.5,149.5,6.9,6.55,6.5,5.1,4.4,1.0076923076923077,0.16,0.0443213296398892,0.0007362005838130682,280836344751.66345
9,6.32,149.5,149.5,8.14,7.78,6.5,4.3,4.2,1.196923076923077,0.16,0.05536332179930796,0.0008744489377199498,127572774113.14748
